Site-longitude,Site-latitude,Sample name,"weight (g, with bag)",Site,Site number,Position,depth top,depth bottom,replicate,Sample name isotopes,d18O,Stdev d18O,d2H,Stdev d2H,comment,,
-3.2530,-75.52615,CD5_R_2_6,,CD,5,20,0.67,1,,CD5_R_2_6,-41.34,0.03,-326.4,0.16,,,
-3.2530,-75.52615,CD5_R_3_0,,CD,5,30,0,0.33,,CD5_R_3_0,-44.57,0.04,-351.3,0.32,,,
-3.2530,-75.52615,CD5_R_3_3,,CD,5,30,0.3,0.67,,CD5_R_3_3,-44.08,0.03,-345.1,0.23,,,
-3.2530,-75.52615,CD5_R_3_6,,CD,5,30,0.67,1,,CD5_R_3_6,-43.86,0.02,-345.3,0.14,,,
-3.2530,-75.52615,CD5_R_4_0,,CD,5,40,0,0.33,,CD5_R_4_0,-45.57,0.05,-357.0,0.23,,,
-3.2530,-75.52615,CD5_R_4_3,,CD,5,40,0.3,0.67,,CD5_R_4_3,-43.93,0.02,-345.9,0.08,,,
-3.2530,-75.52615,CD5_R_4_6,,CD,5,40,0.67,1,,CD5_R_4_6,-42.48,0.02,-332.2,0.10,,,
-3.2530,-75.52615,CD5_R_5_0,,CD,5,50,0,0.33,,CD5_R_5_0,-45.37,0.08,-356.5,0.64,,,
-3.2530,-75.52615,CD5_R_5_3,,CD,5,50,0.3,0.67,,CD5_R_5_3,-44.31,0.04,-350.0,0.11,,,
-3.2530,-75.52615,CD5_R_5_6,,CD,5,50,0.67,1,,CD5_R_5_6,-45.30,0.04,-357.8,0.21,,,
-3.2530,-75.52615,CD5_R_6_0,,CD,5,60,0,0.33,,CD5_R_6_0,-44.33,0.03,-348.8,0.06,,,
-3.2530,-75.52615,CD5_R_6_3,,CD,5,60,0.3,0.67,,CD5_R_6_3,-45.81,0.01,-359.9,0.13,,,
-3.2530,-75.52615,CD5_R_6_6,,CD,5,60,0.67,1,,CD5_R_6_6,-46.62,0.06,-365.0,0.35,,,
-3.2530,-75.52615,CD5_R_7_0,,CD,5,70,0,0.33,,CD5_R_7_0,-42.46,0.06,-332.7,0.19,,,
-3.2530,-75.52615,CD5_R_7_3,,CD,5,70,0.3,0.67,,CD5_R_7_3,-45.15,0.05,-354.5,0.30,,,
-3.2530,-75.52615,CD5_R_7_6,,CD,5,70,0.67,1,,CD5_R_7_6,-44.94,0.05,-352.7,0.50,,,
-3.2530,-75.52615,CD5_R_8_0,,CD,5,80,0,0.33,,CD5_R_8_0,-41.93,0.03,-330.0,0.20,,,
-3.2530,-75.52615,CD5_R_8_3,,CD,5,80,0.3,0.67,,CD5_R_8_3,-45.36,0.03,-355.8,0.24,,,
-3.2530,-75.52615,CD5_R_8_6,,CD,5,80,0.67,1,,CD5_R_8_6,-44.76,0.02,-351.6,0.09,,,
-3.2530,-75.52615,CD5_R_9_0,,CD,5,90,0,0.33,,CD5_R_9_0,-42.31,0.03,-333.6,0.20,,,
-3.2530,-75.52615,CD5_R_9_3,,CD,5,90,0.3,0.67,,CD5_R_9_3N,-44.56,0.01,-351.2,0.02,,,
-3.2530,-75.52615,CD5_R_9_6,,CD,5,90,0.67,1,,CD5_R_9_6,-42.90,0.09,-338.1,0.36,,,
-3.1551,-75.56372,DE5_R_0_0,67.6,DE,5,0,0,0.33,,DE5_R_0_0,-43.71,0.02,-342.8,0.07,,,
