Site-longitude,Site-latitude,Sample name,"weight (g, with bag)",Site,Site number,Position,depth top,depth bottom,replicate,Sample name isotopes,d18O,Stdev d18O,d2H,Stdev d2H,,
-1.07651,-75.18049,D34_M_3_2,72.3,D,34,0-90,0.3,0.6,2,D34_M_3_2,-43.74,0.06,-345.4,0.43,,
-1.07651,-75.18049,D34_M_6_2,76,D,34,0-90,0.6,0.9,2,D34_M_6_2,-45.06,0.03,-354.2,0.33,,
-1.07651,-75.18049,D34_M_10_2,69.5,D,34,0-90,0.9,1.2,2,D34_M_10_2N,-44.46,0.08,-348.9,0.25,,
-0.64962,-75.10268,D40_M_0_1,71.9,D,40,0-90,0,0.3,1,D40_M_0_1,-45.08,0.01,-355.4,0.12,,
-0.64962,-75.10268,D40_M_3_1,89.2,D,40,0-90,0.3,0.6,1,D40_M_3_1a,-43.78,0.01,-345.4,0.02,,
-0.64962,-75.10268,D40_M_6_1,94.7,D,40,0-90,0.6,0.9,1,D40_M_6_1a,-44.87,0.01,-352.6,0.01,,
-0.64962,-75.10268,D40_M_10_1,101.4,D,40,0-90,0.9,1.2,1,D40_M_10_1a,-45.31,0.00,-355.9,0.02,,
-0.64962,-75.10268,D40_M_0_2,65.2,D,40,0-90,0,0.3,2,D40_M_0_2,-44.93,0.08,-356.2,0.42,,
-0.64962,-75.10268,D40_M_3_2,84.1,D,40,0-90,0.3,0.6,2,D40_M_3_2a,-43.50,0.08,-342.7,0.69,,
-0.64962,-75.10268,D40_M_6_2,98.3,D,40,0-90,0.6,0.9,2,D40_M_6_2a,-45.12,0.08,-354.6,0.36,,
-0.64962,-75.10268,D40_M_10_2,121.9,D,40,0-90,0.9,1.2,2,D40_M_10_2a,-44.86,0.09,-355.1,0.78,,
-0.36753,-75.05036,D44_M_0_1,73.8,D,44,0-90,0,0.3,1,D44_M_0_1,-43.48,0.01,-344.1,0.02,,
-0.36753,-75.05036,D44_M_3_1,108.1,D,44,0-90,0.3,0.6,1,D40_M_3_1b,-43.63,0.00,-342.7,0.05,,
-0.36753,-75.05036,D44_M_6_1,77.8,D,44,0-90,0.6,0.9,1,D40_M_6_1b,-45.31,0.01,-355.8,0.04,,
-0.36753,-75.05036,D44_M_10_1,79.9,D,44,0-90,0.9,1.2,1,D40_M_10_1b,-45.07,0.01,-353.6,0.02,,
-0.36753,-75.05036,D44_M_0_2,70.2,D,44,0-90,0,0.3,2,D44_M_0_2N,-43.32,0.06,-344.2,0.51,,
-0.36753,-75.05036,D44_M_3_2,74.7,D,44,0-90,0.3,0.6,2,D40_M_3_2b,-43.75,0.07,-344.6,0.50,,
-0.36753,-75.05036,D44_M_6_2,85.8,D,44,0-90,0.6,0.9,2,D40_M_6_2bN,-44.89,0.09,-352.8,0.48,,
-0.36753,-75.05036,D44_M_10_2,,D,44,0-90,0.9,1.2,2,D40_M_10_2b,-45.18,0.08,-355.2,0.47,,
-0.08744,-74.99769,D48_M_0_1,63.9,D,48,0-90,0,0.3,1,D48_M_0_1,-45.35,0.02,-358.1,0.25,,
-0.08744,-74.99769,D48_M_3_1,66,D,48,0-90,0.3,0.6,1,D48_M_3_1,-44.02,0.01,-345.6,0.02,,
-0.08744,-74.99769,D48_M_6_1,84.1,D,48,0-90,0.6,0.9,1,D48_M_6_1,-44.73,0.01,-351.5,0.06,,
-0.08744,-74.99769,D48_M_10_1,105.9,D,48,0-90,0.9,1.2,1,D48_M_10_1,-46.03,0.01,-362.0,0.02,,
-0.08744,-74.99769,D48_M_0_2,74.9,D,48,0-90,0,0.3,2,D48_M_0_2,-45.26,0.09,-358.2,0.35,,
-0.08744,-74.99769,D48_M_3_2,92.8,D,48,0-90,0.3,0.6,2,D48_M_3_2,-43.92,0.08,-345.9,0.37,,
-0.08744,-74.99769,D48_M_6_2,69.9,D,48,0-90,0.6,0.9,2,D48_M_6_2N,-44.96,0.05,-353.2,0.27,,
-0.08744,-74.99769,D48_M_10_2,121.8,D,48,0-90,0.9,1.2,2,D48_M_10_2N,-46.11,0.04,-361.9,0.24,,
